"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G23-1","group2.3","","#4 Testing Documentation","root","25 Oct 2022","30 Nov 2022",,"Critical","Epic","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)",,"0"
"G23-2","group2.3","","#5 Web App Testing","root","25 Oct 2022","30 Nov 2022",,"Critical","Epic","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)",,"0"
"G23-3","group2.3","","#9 Mobile App Testing","root","25 Oct 2022","2 Jan 2023",,"Critical","Epic","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)",,"0"
"G23-4","group2.3","","Testing Documentation: Viktoria Streminskaia","v.streminskaia","6 Nov 2022","6 Nov 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)",,"0"
"G23-5","group2.3","","The Delete Customer button no exists on the initial page and Hamburger menu","v.streminskaia","6 Nov 2022","23 Nov 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Pro 21H2 Google Chrome 106.0.5249.121","G23-57","**Pre-conditions** : <https://demo.guru99.com/telecom> is open.

**STR**:

1. Check the Active buttons bellow logo (header)

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2. Click the Hamburger menu

**Actual result:** Delete Customer button no exists on Hamburger menu and initial page

**Expected result:** The Delete Customer button exists on the initial page and Hamburger menu","0"
"G23-6","group2.3","","All required fields aren't marked *","v.streminskaia","6 Nov 2022","6 Nov 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Pro 21H2 Google Chrome 106.0.5249.121","G23-59","**Pre-conditions** : <https://demo.guru99.com/telecom> is open.

**STR**:

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1.Select Add Customer from initial page or Hamburger menu

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2.Check that all required fields are marked

**Actual result:** All required fields aren't marked \*

**Expected result:** All required fields aren't marked \*","0"
"G23-8","group2.3","","The blocking modal window appears after clicking on the Add Customer button (initial page)","v.streminskaia","6 Nov 2022","7 Nov 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Pro 21H2 Google Chrome 106.0.5249.121","No qase tc # (only for bug)","**Pre-conditions:** The page <https://demo.guru99.com/telecom/index.html> is open. Сlear cookies and browser cache

**STR:**

1. Select Add Customer from initial page

**Actual result:** User is redirected on Add Customer page

**Expected result:** The blocking modal window appears","0"
"G23-9","group2.3","","Incorrect message when Add Customer: FirstName=empty value","v.streminskaia","6 Nov 2022","23 Nov 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Pro 21H2 Google Chrome 106.0.5249.12","No qase tc # (only for bug)","**Pre-conditions:** The page <https://demo.guru99.com/telecom/addcustomer.php> is open. All fields except FirstName filled with valid data

**STR:**

1. Leave the field FirstName empty

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2. Click Submit button

**Actual result:** The message ' **Customer**Name name must not be blank' is presented under the FirstName field

**Expected result:** The message '**First**Name must not be blank' is presented under the FirstName field","0"
"G23-10","group2.3","","Сyrillic letters are allowed in the Add Customer/Billing Address/Email field","v.streminskaia","6 Nov 2022","9 Nov 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Pro 21H2 Google Chrome 106.0.5249.121","G23-15","**Pre-conditions:** <https://demo.guru99.com/telecom/addcustomer.php> is open. The Email field is selected

**STR:**

1. Fill in the Email field in Cyrillic letters + @gmail.com

**Actual result:**  No error message appears bellow the E-mail field

**Expected result:** An error message ""Email-ID is not valid"" is arrears","0"
"G23-11","group2.3","","Special characters are allowed in the email field","v.streminskaia","6 Nov 2022","6 Nov 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**Pre-conditions:** <https://demo.guru99.com/telecom/addcustomer.php> is open. The Email field is selected

**STR:** 

1. Fill in the Email field in special characters + @gmail.com

**Actual result:** No error message appears

**Expected result:** An error message ""Email is not valid"" is appears","0"
